number|certdate|org_name|org_address|lab_name|lab_address|phone|cellphone|email|www|research_fields|research_objects
AB 067|1996-07-24|Instytut Elektrotechniki|ul. Pożaryskiego 28; 04-703 Warszawa|Oddział Technologii i Materiałoznawstwa Elektrotechnicznego, Laboratorium Badawcze|ul. M. Skłodowskiej-Curie 55/61; 50-369 Wrocław|71 328-30-61||ielow@iel.wroc.pl|www.iel.wroc.pl|Badania elektryczne i elektroniczne (E) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Środki ochrony osobistej :: Wyroby z tworzyw sztucznych i gumy
AB 069|1996-06-17|Główny Instytut Górnictwa|pl. Gwarków 1; 40-166 Katowice|Zakład Oceny Jakości Paliw Stałych|pl. Gwarków 1; 40-166 Katowice|32 259-22-76||l.rog@gig.eu|www.gig.eu|Badania chemiczne, analityka chemiczna (C) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 072|1996-09-20|Główny Instytut Górnictwa|pl. Gwarków 1; 40-166 Katowice|Zakład Inżynierii Materiałowej|pl. Gwarków 1; 40-166 Katowice|32 259-26-44||kwypior@gig.eu|www.gig.eu|Badania chemiczne, analityka chemiczna (C) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy
AB 073|1996-09-26|Instytut Metali Nieżelaznych|ul. Sowińskiego 5; 44-100 Gliwice|Zakład Ochrony Środowiska|ul. Sowińskiego 5; 44-100 Gliwice|32 238-06-29||jan.mrozowski@imn.gliwice.pl|www.imn.gliwice.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe
AB 074|1996-09-17|Instytut Elektrotechniki|ul. Pożaryskiego 28; 04-703 Warszawa|Laboratorium Badawcze Aparatury Rozdzielczej|ul. Pożaryskiego 28; 04-703 Warszawa|22 112-53-01| 693-590-090|zwarcia@iel.waw.pl|www.iel.waw.pl|Badania elektryczne i elektroniczne (E) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Środki ochrony osobistej
AB 075|1996-10-02|Wojewódzki Inspektorat Ochrony Środowiska we Wrocławiu|ul. Paprotna 14; 51-117 Wrocław|Laboratorium Wojewódzkiego Inspektoratu|ul. Paprotna 14; 51-117 Wrocław|71 348-61-14||wios@wroclaw.pios.gov.pl|www.wroclaw.pios.gov.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne
AB 076|1996-10-15|Wojskowy Ośrodek Badawczo - Wdrożeniowy Służby Żywnościowej|ul. Marsa 112; 04-470 Warszawa|Laboratorium Badań Żywności|ul. Marsa 112; 04-470 Warszawa|26 181-52-02||wobwsz.lbz@ron.mil.pl|wobwsz.wp.mil.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N) :: Badania sensoryczne (Q)|Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 077|1996-10-30|Instytut Włókiennictwa|ul. Brzezińska 5/15; 92-103 Łódź|Laboratorium Badań Chemicznych i Analiz Instrumentalnych|ul. Brzezińska 5/15; 92-103 Łódź|42 616-31-30||jpiestrzeniewicz@iw.lodz.pl|www.iw.lodz.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Szkło i ceramika :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne
AB 079|1996-10-15|J.S. Hamilton Poland S.A.|ul. Chwaszczyńska 180; 81-571 Gdynia|Laboratorium Badawcze|ul. Chwaszczyńska 180; 81-571 Gdynia|58 766-99-00||info@hamilton.com.pl|www.hamilton.com.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Produkty rolne - w tym pasze dla zwierząt :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Wyroby inne :: Papier, tektura, materiały opakowaniowe :: Wyroby z tworzyw sztucznych i gumy :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Zabawki, sprzęt sportowy i rekreacyjny :: Drewno
AB 080|1996-10-15|TECHNIC-CONTROL Sp. z o.o.|ul. Andrzeja Antosiewicza 1; 71-642 Szczecin|Laboratorium Badań Nieniszczących|ul. Andrzeja Antosiewicza 1; 71-642 Szczecin|91 455-36-12||biuro@technic-control.pl|www.technic-control.pl|Badania chemiczne, analityka chemiczna (C) :: Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 081|1996-09-15|Instytut Chemicznej Przeróbki Węgla|ul. Zamkowa 1; 41-803 Zabrze|Instytut Chemicznej Przeróbki Węgla|ul. Zamkowa 1; 41-803 Zabrze|32 271-00-41||office@ichpw.zabrze.pl|www.ichpw.zabrze.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Wyroby inne
AB 082|1996-11-18|Przemysłowy Instytut Motoryzacji|ul. Jagiellońska 55; 03-301 Warszawa|Laboratoria Badawcze|ul. Jagiellońska 55; 03-301 Warszawa|22 777-70-15||instytut@pimot.eu|www.pimot.eu|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby inne :: Wyroby z tworzyw sztucznych i gumy :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne :: Pojazdy
AB 083|1996-11-18|Wojskowy Instytut Techniki Pancernej i Samochodowej|ul. Okuniewska 1; 05-070 Sulejówek|Laboratorium Inżynierii Materiałowej|ul. Okuniewska 1; 05-070 Sulejówek|22 681-10-24||zbigniew.smoczynski@witpis.eu|www.witpis.mil.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Szkło i ceramika :: Wyposażenie wojskowe, materiały wybuchowe, amunicja :: Wyroby z tworzyw sztucznych i gumy
AB 085|1996-11-07|Wojewódzki Inspektorat Ochrony Środowiska w Łodzi|ul. Lipowa 16; 90-743 Łódź|Laboratorium w Sieradzu|ul. Polskiej Organizacji Wojskowej 70/72; 98-200 Sieradz|43 822-09-81||lab_sieradz@wios.lodz.pl||Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 086|1996-11-15|COBICO Spółka z o.o.|Przebieczany 529; 32-020 Wieliczka|Laboratorium COBICO|Przebieczany 529; 32-020 Wieliczka|12 630-90-91||kszostak@cobico.pl|www.cobico.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Badania sensoryczne (Q)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Papier, tektura, materiały opakowaniowe
AB 087|1996-10-28|Instytut Energetyki Instytut Badawczy|ul. Mory 8; 01-330 Warszawa|Laboratorium Badań Kotłów i Urządzeń Grzewczych|ul. Dostawcza 1; 93-231 Łódź|42 640-08-21||cue@ien.com.pl|www.ien.com.pl|Badania właściwości fizycznych (N)|Wyroby inne
AB 088|1996-11-15|Instytut Technologii Drewna|ul. Winiarska 1; 60-654 Poznań|Laboratorium Badania Drewna, Materiałów Drewnopochodnych, Opakowań, Mebli, Konstrukcji i Obrabiarek|ul. Winiarska 1; 60-654 Poznań|61 849-24-29||m_kalbrun@itd.poznan.pl|www.itd.poznan.pl|Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Paliwa i materiały smarne :: Meble :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby z tworzyw sztucznych i gumy :: Drewno
AB 089|1996-11-18|Instytut Transportu Samochodowego|ul. Jagiellońska 80; 03-301 Warszawa|Centrum Badań Materiałowych|ul. Jagiellońska 80; 03-301 Warszawa|22 438-54-71||zlg@its.waw.pl|www.its.waw.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Badania sensoryczne (Q)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Paliwa i materiały smarne :: Szkło i ceramika :: Wyroby inne :: Środki ochrony osobistej :: Wyroby z tworzyw sztucznych i gumy :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne
AB 097|1996-12-30|Instytut Ceramiki i Materiałów Budowlanych|ul. Postępu 9; 02-676 Warszawa|Oddział Materiałów Ogniotrwałych w Gliwicach, Laboratorium Badań Materiałów Ogniotrwałych|ul. Toszecka 99; 44-100 Gliwice|32 270-18-98||lab_gliwice@icimb.pl|www.icimb.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Azbest - w tym usuwanie azbestu :: Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Szkło i ceramika
AB 098|1997-01-10|Instytut Techniczny Wojsk Lotniczych|ul. Księcia Bolesława 6; 01-494 Warszawa|Laboratorium Materiałów Pędnych i Smarów|ul. Ostroroga 35a; 01-163 Warszawa|26 185-14-00|||www.mps.itwl.pl|Badania chemiczne, analityka chemiczna (C) :: Badania inne (M) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby :: Paliwa i materiały smarne
AB 099|1996-12-20|Metrotest Sp. z o.o.|ul. Stoczniowa 2; 82-300 Elbląg|Metrotest Sp. z o.o.|ul. Stoczniowa 2; 82-300 Elbląg|55 237-89-50||boguslaw.marciniak@metrotest.com.pl|www.metrotest.com.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Paliwa i materiały smarne
AB 103|1997-03-10|Polcargo International Sp. z o.o.|ul. H. Pobożnego 5; 70-900 Szczecin|Polcargo International Sp. z o.o.|ul. H. Pobożnego 5; 70-900 Szczecin|91 441-82-53||szurgocinska@polcargo.pl|www.polcargo.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P) :: Badania sensoryczne (Q)|Produkty rolne - w tym pasze dla zwierząt :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Paliwa i materiały smarne :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 105|1997-03-17|Instytut Obróbki Plastycznej|ul. Jana Pawła II nr 14; 61-139 Poznań|Zakład Badania Metali|ul. Jana Pawła II nr 14; 61-139 Poznań|61 657-05-55||inop@inop.poznan.pl|www.inop.poznan.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L)|Wyroby i materiały konstrukcyjne - w tym metale i kompozyty
AB 106|1997-03-20|Wojewódzki Inspektorat Ochrony Środowiska w Kielcach|Al. IX Wieków Kielc 3; 25-516 Kielce|Laboratorium|Al. IX Wieków Kielc 3; 25-516 Kielce|41 342-19-52||sekretariat@kielce.pios.gov.pl|www.kielce.pios.gov.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mikrobiologiczne (K) :: Badania właściwości fizycznych (N) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 108|1997-03-10|Instytut Sportu - Państwowy Instytut Badawczy|ul. Trylogii 2/16; 01-982 Warszawa|Zakład Badań Antydopingowych|ul. Trylogii 2/16; 01-982 Warszawa|22 569-99-30||antydoping.dep@insp.waw.pl|www.insp.waw.pl|Badania chemiczne, analityka chemiczna (C)|Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby konsumpcyjne przeznaczone dla ludzi - w tym żywność
AB 109|1997-06-05|Wojskowa Akademia Techniczna im. Jarosława Dąbrowskiego|ul. Gen. Witolda Urbanowicza 2; 00-908 Warszawa|Laboratorium Badawcze|ul. Gen. Witolda Urbanowicza 2; 00-908 Warszawa|26 183-92-79||alb@wat.edu.pl|www.alb.wat.edu.pl|Badania elektryczne i elektroniczne (E) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Szkło i ceramika :: Wyposażenie optyczne
AB 113|1997-06-16|Instytut Chemii Przemysłowej im. prof. Ignacego Mościckiego|ul. Rydygiera 8; 01-793 Warszawa|Laboratorium Oceny Wyrobów Rynkowych i Biodegradacji|ul. Rydygiera 8; 01-793 Warszawa|22 568-25-89||elzbieta.dluska-smolik@ichp.pl|www.ichp.pl|Badania chemiczne, analityka chemiczna (C) :: Badania właściwości fizycznych (N)|Chemikalia, kosmetyki, wyroby chemiczne - w tym nawozy i farby
AB 115|1997-06-11|Instytut Ceramiki i Materiałów Budowlanych|ul. Postępu 9; 02-676 Warszawa|Instytut Ceramiki i Materiałów Budowlanych|ul. Postępu 9; 02-676 Warszawa|22 847-00-87||laboratorium@icimb.pl|www.icimb.pl|Badania chemiczne, analityka chemiczna (C) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Badania radiochemiczne i promieniowania - w tym nuklearne (O) :: Pobieranie próbek, laboratoria akredytowane do pobierania próbek (P)|Wyroby budowlane, materiały budowlane, obiekty budowlane :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Szkło i ceramika :: Wyroby inne
AB 116|1997-06-16|Instytut Technologiczno-Przyrodniczy w Falentach|Aleja Hrabska 3; 05-090 Raszyn|Laboratorium Badawcze ITP|ul. Rakowiecka 32; 02-532 Warszawa|22 542-11-00||lab@itep.edu.pl|www.itep.edu.pl|Badania akustyczne i hałasu - w tym hałasu spowodowanego przez drgania (A) :: Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania mechaniczne, badania metalograficzne (J) :: Badania właściwości fizycznych (N) :: Badania sensoryczne (Q)|Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Pojazdy
AB 117|1997-07-07|Politechnika Świętokrzyska|Al. Tysiąclecia Państwa Polskiego 7; 25-314 Kielce|Wydział Elektrotechniki, Automatyki i Informatyki, Laboratorium Elektrotechniki Pojazdowej|Al. Tysiąclecia Państwa Polskiego 7; 25-314 Kielce|41 342-41-43||enegs@tu.kielce.pl||Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania ogniowe (H) :: Badania mechaniczne, badania metalograficzne (J) :: Badania inne (M) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Maszyny, zakłady produkcyjne, wyposażenie - w tym instalacje jądrowe :: Wyroby z tworzyw sztucznych i gumy :: Tekstylia i skóra, tkaniny, przędza, odzież oraz wyroby finalne
AB 118|1997-09-03|Wojewódzki Inspektorat Ochrony Środowiska w Lublinie|ul. Obywatelska 13; 20-092 Lublin|Laboratorium|ul. Obywatelska 13; 20-092 Lublin|81 718-62-46||laboratorium@wios.lublin.pl|www.wios.lublin.pl|Badania chemiczne, analityka chemiczna (C) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N)|Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki
AB 120|1997-07-18|Instytut Metalurgii i Inżynierii Materiałowej im. Aleksandra Krupkowskiego Polskiej Akademii Nauk|ul. Reymonta 25; 30-059 Kraków|Zespół Laboratoriów Badawczych|ul. Reymonta 25; 30-059 Kraków|12 295-28-00||zlb@imim.pl|www.imim.pl|Badania biologicznie i biochemiczne (B) :: Badania chemiczne, analityka chemiczna (C) :: Badania elektryczne i elektroniczne (E) :: Badania mechaniczne, badania metalograficzne (J) :: Badania nieniszczące (L) :: Badania właściwości fizycznych (N)|Obiekty i materiały biologiczne przeznaczone do badań :: Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Wyroby i materiały konstrukcyjne - w tym metale i kompozyty :: Szkło i ceramika :: Wyroby inne
AB 121|1997-07-31|Instytut Łączności - Państwowy Instytut Badawczy|ul. Szachowa 1; 04-894 Warszawa|Laboratorium Badań Urządzeń Telekomunikacyjnych (LBUT)|ul. Szachowa 1; 04-894 Warszawa|22 512-83-60||lbut@itl.waw.pl|www.itl.waw.pl|Badania elektryczne i elektroniczne (E) :: Badania kompatybilności elektromagnetycznej (EMC) (F) :: Badania dotyczące inżynierii środowiska (środowiskowe i klimatyczne) (G) :: Badania właściwości fizycznych (N)|Wyroby i wyposażenie elektryczne, telekomunikacyjne i elektroniczne :: Próbki środowiskowe, powietrze, woda, gleba, odpady, osady i ścieki :: Wyposażenie medyczne
